2025-08-18 13:44:56.286 [main] INFO  com.ankai.AnKaiBackendApplication - Started AnKaiBackendApplication in 2.165 seconds (process running for 2.83)
2025-08-18 14:17:14.675 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-08-18 14:17:14.718 [main] INFO  com.ankai.AnKaiBackendApplication - Starting AnKaiBackendApplication using Java 17.0.15 with PID 24128 (C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend\target\classes started by A in C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend)
2025-08-18 14:17:14.718 [main] INFO  com.ankai.AnKaiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-18 14:17:15.803 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-18 14:17:15.811 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-08-18 14:17:15.811 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-08-18 14:17:15.811 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-08-18 14:17:15.889 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-08-18 14:17:15.890 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1127 ms
2025-08-18 14:17:16.690 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@20820df0, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@9e62fb, org.springframework.security.web.context.SecurityContextHolderFilter@5835e24a, org.springframework.security.web.header.HeaderWriterFilter@2c0798bd, org.springframework.security.web.authentication.logout.LogoutFilter@278fe428, com.ankai.security.JwtAuthenticationFilter@5bfc79cb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@74a85515, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4a2e1e52, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@205159dc, org.springframework.security.web.session.SessionManagementFilter@44b9c7c4, org.springframework.security.web.access.ExceptionTranslationFilter@5885e231, org.springframework.security.web.access.intercept.AuthorizationFilter@1186374c]
2025-08-18 14:17:16.889 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-08-18 14:17:16.906 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api'
2025-08-18 14:17:16.914 [main] INFO  com.ankai.AnKaiBackendApplication - Started AnKaiBackendApplication in 2.705 seconds (process running for 3.371)
2025-08-18 14:17:53.937 [http-nio-8080-exec-2] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-18 14:17:53.937 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-18 14:17:53.938 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-08-18 14:32:06.053 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-08-18 14:32:06.089 [main] INFO  com.ankai.AnKaiBackendApplication - Starting AnKaiBackendApplication using Java 17.0.15 with PID 25240 (C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend\target\classes started by A in C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend)
2025-08-18 14:32:06.090 [main] INFO  com.ankai.AnKaiBackendApplication - No active profile set, falling back to 1 default profile: "default"
